track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre_prob,predicted_genre,classification_probability
4Pbg79cTBu4vgSphoyNq3j,2002,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,6oSxSPOg7Kuitjt2zwP7sU,186986,2018-04-19,72,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,0.5153501629829407,R&B,51.53501629829407%
6SFStUDQZNaGPKWOx9ZiJB,2002,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,661ouXU4o4oBewWvVzQN7H,186986,2018-04-27,1,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,0.5153501629829407,R&B,51.53501629829407%
7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),64KEffDW9EtZ1y2vBYgq8T,Marshmello,3NTBbNcEuBN3XKkUfk4pil,186024,2019-11-13,68,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,2,0.5151983499526978,Reggae,51.519834995269775%
68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,6E0p38TjcK490itZ1Ns7bD,217706,2015-11-05,56,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,5,0.514890193939209,Rock,51.4890193939209%
5ubwXXOsH9bUhZsQ0Cybha,Level Up,2NdeV5rLm47xAvogXrYhJX,Ciara,0v9PueTztOFDKSFkJ3Fkfn,204150,2018-07-18,68,0.746,0.825,1,-4.666,1,0.169,0.0142,0.0107,0.121,0.584,152.914,2,0.5141511559486389,Reggae,51.41511559486389%
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,222400,2019-08-23,71,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,4,0.5138270854949951,R&B,51.38270854949951%
6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),04gDigrS5kc9YWfZHwBETP,Maroon 5,75iQSBSaztFIAun9qLLCnb,235545,2018-05-30,77,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,5,0.5136319994926453,Rock,51.363199949264526%
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),04gDigrS5kc9YWfZHwBETP,Maroon 5,1Li4rADxSxjT2g4xqUcMYh,235545,2018-06-15,76,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,5,0.5136319994926453,Rock,51.363199949264526%
1IWNylpZ477gIVUDpJL66u,Sour Candy (with BLACKPINK),1HY2Jd0NmPuamShAr6KMms,Lady Gaga,05c49JgPmL4Uz2ZeqRx5SP,157706,2020-05-29,80,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,4,0.5136029124259949,R&B,51.36029124259949%
6R6ZoHTypt5lt68MWbzZXv,Sour Candy (with BLACKPINK),1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6y6lP1WRfqEhv8RLy4ufZB,157706,2020-05-28,78,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,4,0.5136029124259949,R&B,51.36029124259949%
5Xn4IyTtW6FUGIUyWjbUHG,Goodbye (feat. Nicki Minaj & Willy William),07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,5dL5RSd455FewNptPgtBTS,195419,2018-08-24,68,0.643,0.904,0,-3.694,1,0.0739,0.0776,0.0,0.189,0.481,103.028,4,0.5134046077728271,R&B,51.340460777282715%
3jjujdWJ72nww5eGnfs2E7,Adore You,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,207133,2019-12-13,88,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,0.5120468735694885,R&B,51.20468735694885%
1M4qEo4HE3PRaCOM7EXNJq,Adore You,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5SL9nXZYZZl68bHwaM8uLa,207133,2019-12-06,79,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,0.5120468735694885,R&B,51.20468735694885%
3NLnwwAQbbFKcEcV8hDItk,Perfect,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1gMxiQQSg5zeu4htBosASY,230333,2015-11-13,77,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,4,0.512007474899292,R&B,51.2007474899292%
0HMjXBAZmSYOTTi33WpMso,History,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1gMxiQQSg5zeu4htBosASY,187426,2015-11-13,77,0.655,0.699,11,-4.421,1,0.0493,0.0352,0.0,0.064,0.802,86.704,5,0.5114357471466064,Rock,51.143574714660645%
71SEHJPt1iDwGkBhUOAXDP,Survival,3TVXtAsR1Inumwj472S9r4,Drake,2o9McLtDM7mbODV7yZF2mc,136186,2018-06-29,0,0.685,0.593,9,-9.083,0,0.284,0.134,0.0,0.123,0.144,84.763,2,0.5104812979698181,Reggae,51.04812979698181%
1ER60P43ftVOLaMRvBfpnt,Don't Know What To Do (Don't Know What To Say),2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,6ZozvLGJfI8IEdQCTeivYc,167086,2017-10-11,57,0.657,0.492,1,-9.828,1,0.0267,0.425,0.0,0.0989,0.169,134.19,5,0.5100366473197937,Rock,51.00366473197937%
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),6bmlMHgSheBauioMgKv2tn,Powfu,2p9gK2BcdrloHNJwarc9gc,173333,2020-02-08,93,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,0.5099431276321411,R&B,50.99431276321411%
